No.,店舗名,電話番号,住所,定休日,ジャンル,座席・設備,営業時間,URL
68,古澤亭(ふるさわてい),080-1187-5393,東京都目黒区目黒１-６-１２,,カフェ,,,https://retty.me/area/PRE13/ARE13/SUB704/100001551629/
69,ビストロトポロジー(Bistrotopology),0066-9713-909141,東京都目黒区目黒１-２３-１５カスカ１F,毎週月曜日,カフェ,15席,※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001411612/
70,AHILYA目黒店(アヒリヤメグロテン),050-5262-7236,東京都目黒区下目黒１-３-２８サンウッド目黒２F,無休,カフェ,35席,[全日]ランチ:11:30〜15:00ディナー:17:30〜23:00※2021年1月8日～2月7日は20時閉店となります。※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001403881/
71,すし太(すした),03-3493-6757,東京都品川区上大崎２-２７-１,,カフェ,,,https://retty.me/area/PRE13/ARE13/SUB704/100001412740/
72,三代目だるま鮨(さんだいめだるまずし),03-3473-4715,東京都品川区上大崎２-１５-１９MG目黒駅前ビル２F,無休店休日はお店に確認,カフェ,,[火~金・土・日・祝]12:00〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001508484/
73,焼肉ぽんがはなれ(やきにくぽんがはなれ),03-6450-2131,東京都品川区上大崎２-１４-９目黒東誠ビル２F,無休,カフェ,35席,[月~金]18:00〜24:00[土・日・祝]17:00〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001537093/
74,ビストロカニッシュ(BistroCaniche),03-6303-9287,東京都品川区上大崎２-１８-２５目黒三田フラワーマンション１F,不明,カフェ,22席,18:00～23:00LO※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001429896/
75,だるまや不動前店(だるまやふどうまえてん),03-6712-2949,東京都目黒区下目黒３-８-１,不定休,カフェ,14席,[全日]18:00〜20:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001482347/
76,クロデグルメ(ClosDesGourmets),050-5461-9086,東京都港区白金台３-１８-４２F,毎週日曜日年末年始（要確認）年末年始12/30～1/6はお休みを頂戴します。,カフェ,12席（テーブル10席カウンター2席）,[月]ディナー:18:00〜24:00LO23:00[火~金・土・日・祝・祝前]ランチ:12:00〜15:00ランチはご予約のみの営業となっております。※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE14/SUB1404/100001519712/
77,BarDove(バードーヴ),03-6417-4045,東京都品川区上大崎４-３-６同潤社ビル,毎週火曜日祝日,カフェ,,[月・水~金・土・日]15:00〜24:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001349540/
78,アルコザ・ガーデン(あるこざがーでん),050-3491-2359,東京都目黒区下目黒１-８-１アルコタワー内２F,毎週土曜日毎週日曜日,カフェ,,[月~金]09:30〜20:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001431521/
79,サムギョ(さむぎょ),03-3446-2777,東京都品川区上大崎３-３-１坂上ビルB１F,毎週日曜日祝日,カフェ,20席,[月~金・土]18:00〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001469420/
80,トラットリアグリフォン(TrattoriaGRIFONEとらっとりあぐりふぉん),03-3442-7745,東京都港区白金台３-１８-１２AKETAビル２F,不定休,カフェ,,[全日]12:00〜15:0018:00〜23:00LO22:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE14/SUB1404/100000058095/
81,コンプレックス(complex),03-3710-7067,東京都目黒区三田２-８－１,,カフェ,,,https://retty.me/area/PRE13/ARE13/SUB704/100000033346/
